date,temperature_2m,relative_humidity_2m,precipitation_probability,apparent_temperature
2025-11-15 00:00:00+00:00,5.234,94.0,0.0,3.176886
2025-11-15 01:00:00+00:00,4.8840003,96.0,0.0,3.3731322
2025-11-15 02:00:00+00:00,4.984,96.0,0.0,3.3357053
2025-11-15 03:00:00+00:00,5.1340003,96.0,0.0,3.294754
2025-11-15 04:00:00+00:00,5.334,94.0,0.0,3.6694226
2025-11-15 05:00:00+00:00,5.434,94.0,0.0,4.004407
2025-11-15 06:00:00+00:00,5.484,98.0,0.0,3.8234386
2025-11-15 07:00:00+00:00,5.3840003,98.0,0.0,3.6281128
2025-11-15 08:00:00+00:00,5.334,98.0,0.0,3.484765
2025-11-15 09:00:00+00:00,5.5340004,96.0,0.0,3.641128
2025-11-15 10:00:00+00:00,5.684,95.0,0.0,3.600357
2025-11-15 11:00:00+00:00,6.234,91.0,0.0,4.0730915
2025-11-15 12:00:00+00:00,6.984,86.0,0.0,4.9607716
2025-11-15 13:00:00+00:00,7.184,87.0,0.0,5.055254
2025-11-15 14:00:00+00:00,7.734,84.0,0.0,5.756215
2025-11-15 15:00:00+00:00,7.684,85.0,0.0,5.732238
2025-11-15 16:00:00+00:00,7.484,86.0,0.0,5.6714687
2025-11-15 17:00:00+00:00,7.584,85.0,5.0,6.035671
2025-11-15 18:00:00+00:00,7.5340004,88.0,15.0,6.0520687
2025-11-15 19:00:00+00:00,7.3840003,90.0,23.0,6.116419
2025-11-15 20:00:00+00:00,7.334,90.0,18.0,6.0225296
2025-11-15 21:00:00+00:00,7.3840003,89.0,23.0,6.1669655
2025-11-15 22:00:00+00:00,7.3840003,89.0,13.0,6.2104588
2025-11-15 23:00:00+00:00,7.3840003,89.0,5.0,5.9156303
2025-11-16 00:00:00+00:00,7.334,89.0,8.0,5.6159134
2025-11-16 01:00:00+00:00,7.3840003,89.0,13.0,5.9332523
2025-11-16 02:00:00+00:00,7.434,89.0,10.0,5.84095
2025-11-16 03:00:00+00:00,7.484,89.0,8.0,5.7649393
2025-11-16 04:00:00+00:00,7.5340004,88.0,15.0,5.875139
2025-11-16 05:00:00+00:00,7.3840003,88.0,18.0,5.754713
2025-11-16 06:00:00+00:00,7.234,89.0,15.0,5.607992
2025-11-16 07:00:00+00:00,7.234,88.0,20.0,5.622202
2025-11-16 08:00:00+00:00,7.484,87.0,10.0,5.6302843
2025-11-16 09:00:00+00:00,8.184,84.0,8.0,6.474902
2025-11-16 10:00:00+00:00,9.334001,81.0,5.0,7.706277
2025-11-16 11:00:00+00:00,10.834001,78.0,5.0,9.359639
2025-11-16 12:00:00+00:00,12.134,75.0,3.0,10.931697
2025-11-16 13:00:00+00:00,13.384,71.0,0.0,12.028749
2025-11-16 14:00:00+00:00,13.084001,74.0,0.0,11.701814
2025-11-16 15:00:00+00:00,12.334001,79.0,0.0,11.350152
2025-11-16 16:00:00+00:00,11.234,84.0,3.0,10.33923
2025-11-16 17:00:00+00:00,10.234,88.0,3.0,9.377616
2025-11-16 18:00:00+00:00,9.284,91.0,0.0,8.154423
2025-11-16 19:00:00+00:00,9.084001,91.0,0.0,7.957177
2025-11-16 20:00:00+00:00,9.184,91.0,0.0,7.977292
2025-11-16 21:00:00+00:00,9.334001,90.0,0.0,8.117284
2025-11-16 22:00:00+00:00,8.934,91.0,3.0,7.9787016
2025-11-16 23:00:00+00:00,8.684,90.0,8.0,7.515547
2025-11-17 00:00:00+00:00,8.734,89.0,15.0,7.619012
2025-11-17 01:00:00+00:00,8.334001,91.0,20.0,7.105729
2025-11-17 02:00:00+00:00,8.284,89.0,33.0,6.946954
2025-11-17 03:00:00+00:00,8.284,89.0,43.0,7.154028
